COUNTRY,SEX,YEAR,life_expectancy,average_number_of_calories_available_per_person_per_day,unemployment_rate,regular_daily_smokers,adult_overweight,alcahol_consumption_liter_per_capita,fat_available_ppd,protein_ppd,average_fruit_vegtable_ppd
Bulgaria,ALL,2020.0,73.63,2320.0,9.6,26.0,43.46,11.82,44.11,63.29,4240.0
Bulgaria,ALL,2021.0,71.4,2330.0,8.2,25.0,43.69,11.89,44.3,64.89,4660.0
Cyprus,ALL,2000.0,77.89,2320.0,7.4,26.0,43.92,11.53,38.36,66.31,4220.0
Cyprus,ALL,2001.0,79.35,2288.0,6.7,28.0,44.17,10.96,38.32,66.5,4560.0
Cyprus,ALL,2002.0,77.3,2236.0,6.3,30.0,44.43,10.86,41.35,65.33,2070.0
Cyprus,ALL,2003.0,79.66,2239.0,7.1,25.5,44.72,10.53,42.67,65.25,2320.0
Cyprus,ALL,2004.0,79.83,2259.0,6.9,27.0,45.02,10.46,48.74,66.3,2760.0
Cyprus,ALL,2005.0,79.23,2432.0,6.2,29.0,45.34,10.33,57.49,70.15,3580.0
Cyprus,ALL,2006.0,80.65,2554.0,17.3,31.0,45.66,10.06,55.95,75.06,4650.0
Cyprus,ALL,2007.0,80.48,2668.0,16.2,28.0,45.99,9.88,63.01,77.37,5540.0
Cyprus,ALL,2008.0,81.17,2757.0,17.6,29.0,46.31,11.02,66.44,80.89,5980.0
Cyprus,ALL,2009.0,81.59,2761.0,18.5,27.0,46.65,11.18,76.62,82.22,6660.0
Cyprus,ALL,2010.0,82.2,2869.0,18.0,24.0,47.0,11.18,81.67,87.6,7540.0
Cyprus,ALL,2011.0,81.92,2819.0,17.8,20.0,47.33,10.72,77.87,84.58,9620.0
Cyprus,ALL,2012.0,81.77,2912.0,16.3,22.0,47.64,10.99,86.94,87.43,11460.0
Cyprus,ALL,2013.0,82.55,2946.0,17.9,22.0,47.91,3.18,92.88,90.79,11180.0
Cyprus,ALL,2014.0,82.39,2972.0,18.1,20.5,48.11,2.98,95.49,90.93,10380.0
Cyprus,ALL,2015.0,81.67,3020.0,15.46,19.0,48.23,2.52,98.47,93.28,9600.0
Cyprus,ALL,2016.0,82.74,3069.0,13.0,15.4,48.3,2.71,96.99,97.48,9270.0
Cyprus,ALL,2017.0,82.1,3090.0,2.4,31.4,48.32,4.34,96.13,97.44,9360.0
Cyprus,ALL,2018.0,82.72,3051.0,1.5,33.0,48.3,2.98,94.73,97.19,10820.0
Cyprus,ALL,2019.0,82.25,3072.0,1.3,33.0,48.26,2.92,95.9,97.7,13810.0
Cyprus,ALL,2020.0,82.35,3074.0,1.2,33.6,48.24,2.84,99.89,97.38,18070.0
Cyprus,ALL,2021.0,81.39,3022.0,1.42,35.6,48.2,1.9,115.83,94.29,19300.0
Czechia,ALL,2000.0,75.21,3191.0,1.85,32.7,48.15,2.16,111.74,88.77,20630.0
