COUNTRY,SEX,YEAR,life_expectancy,average_number_of_calories_available_per_person_per_day,unemployment_rate,regular_daily_smokers,adult_overweight,alcahol_consumption_liter_per_capita,fat_available_ppd,protein_ppd,average_fruit_vegtable_ppd
Croatia,ALL,2010.0,76.86,3090.0,10.0,27.65,46.88,7.31,57.94,89.99,5300.0
Croatia,ALL,2011.0,77.26,3023.0,10.5,27.86,47.16,7.84,56.13,88.66,5210.0
Croatia,ALL,2012.0,77.38,2936.0,11.2,27.34,47.45,9.01,60.85,83.8,5130.0
Croatia,ALL,2013.0,77.85,2803.0,11.4,27.31,47.75,8.71,59.62,77.41,5120.0
Croatia,ALL,2014.0,78.0,2903.0,11.9,27.08,48.07,8.44,65.68,79.59,5750.0
Croatia,ALL,2015.0,77.52,2901.0,31.1,26.7,48.38,8.88,62.53,82.81,6170.0
Croatia,ALL,2016.0,78.27,2834.0,29.0,26.2,48.7,9.18,57.87,81.25,6080.0
Croatia,ALL,2017.0,78.05,3091.0,23.4,25.7,49.0,10.14,64.09,89.01,6770.0
Croatia,ALL,2019.0,78.63,3038.0,24.1,25.06,49.29,10.22,67.8,87.6,1800.0
Croatia,ALL,2020.0,77.89,3016.0,27.2,24.47,49.57,10.15,68.1,86.62,1600.0
Croatia,ALL,2021.0,76.63,3064.0,27.6,24.12,49.83,10.86,70.0,88.47,1460.0
Hungary,ALL,2000.0,71.49,3107.0,25.4,23.75,50.08,10.52,72.13,90.86,1370.0
Hungary,ALL,2001.0,72.56,3079.0,0.1,23.65,50.31,11.27,70.14,90.19,1450.0
Hungary,ALL,2002.0,72.64,3061.0,0.5,23.6,50.51,10.91,77.35,88.55,1540.0
Hungary,ALL,2003.0,72.59,3072.0,1.4,23.19,50.67,10.84,79.11,88.98,1560.0
Hungary,ALL,2004.0,73.03,3057.0,2.1,22.77,50.8,11.34,78.17,90.51,1410.0
Hungary,ALL,2005.0,73.01,3105.0,2.9,21.89,50.89,11.2,78.5,90.04,1380.0
Hungary,ALL,2006.0,73.57,3200.0,4.0,21.47,50.94,10.96,80.2,93.36,1300.0
Hungary,ALL,2007.0,73.65,3268.0,2.8,21.0,50.96,11.37,84.15,97.41,1380.0
Hungary,ALL,2008.0,74.23,3304.0,2.3,20.32,50.96,10.92,87.08,98.54,1630.0
Hungary,ALL,2009.0,74.45,3274.0,2.1,20.04,50.96,11.47,86.71,97.07,2170.0
Hungary,ALL,2010.0,74.78,3317.0,2.1,19.21,50.95,10.91,87.07,99.29,2820.0
Hungary,ALL,2011.0,75.15,3320.0,2.3,18.37,50.96,11.17,86.26,98.21,3510.0
Hungary,ALL,2012.0,75.33,3099.0,3.0,17.31,50.97,11.43,92.38,96.55,4310.0
Hungary,ALL,2013.0,75.81,3194.0,3.1,28.72,50.98,11.46,95.63,99.15,5470.0
Hungary,ALL,2014.0,76.02,3125.0,1.9,28.57,51.0,9.47,97.45,96.15,5660.0
Hungary,ALL,2015.0,76.01,3195.0,1.5,28.49,51.01,10.15,96.1,94.95,6150.0
Hungary,ALL,2016.0,76.33,3284.0,1.2,27.75,51.02,9.86,99.62,96.76,6340.0
Hungary,ALL,2017.0,76.12,3282.0,1.0,27.45,51.05,9.7,99.81,95.67,6630.0
Hungary,ALL,2018.0,76.31,3219.0,0.8,26.72,51.08,9.51,101.49,95.3,7030.0
Hungary,ALL,2019.0,76.58,3117.0,0.9,26.34,40.7,9.18,102.22,91.98,7620.0
Ireland,ALL,2000.0,76.6,2993.0,0.7,25.54,41.4,8.13,96.64,86.75,6750.0
Ireland,ALL,2001.0,77.23,3046.0,0.6,25.08,42.2,7.86,104.36,88.46,5640.0
Ireland,ALL,2002.0,77.75,2981.0,0.5,24.47,42.9,7.65,102.41,86.31,5320.0
Ireland,ALL,2003.0,78.28,2821.0,0.5,24.54,43.6,10.26,93.78,85.38,5730.0
Ireland,ALL,2004.0,78.69,2901.0,0.5,22.86,44.3,11.07,95.27,87.21,6370.0
Ireland,ALL,2005.0,79.2,2987.0,1.0,19.45,44.9,10.8,102.82,89.1,6280.0
Ireland,ALL,2006.0,79.4,3084.0,0.8,27.0,45.5,10.92,112.32,90.99,6950.0
Ireland,ALL,2007.0,79.77,3186.0,0.5,26.0,46.1,10.7,118.35,92.01,842.23
Ireland,ALL,2008.0,79.98,3200.0,0.3,26.0,46.7,10.22,119.11,90.86,828.41
Ireland,ALL,2009.0,79.98,3126.0,0.2,24.0,47.2,10.18,110.9,91.56,758.94
Ireland,ALL,2010.0,80.8,3178.0,0.2,25.0,47.8,10.66,125.29,92.34,739.56
Ireland,ALL,2011.0,80.86,3223.0,0.1,25.0,48.3,10.73,129.1,91.27,755.98
Ireland,ALL,2012.0,80.93,3284.0,0.1,23.0,48.7,10.53,128.09,92.05,765.06
Ireland,ALL,2013.0,81.12,3295.0,0.28,25.0,49.2,9.82,125.62,90.66,757.97
Ireland,ALL,2015.0,81.58,3283.0,0.54,27.0,43.77,9.88,129.4,91.1,739.48
Ireland,ALL,2018.0,82.25,3254.0,0.81,27.0,43.93,10.88,132.03,88.64,717.64
Italy,ALL,2000.0,79.74,3249.0,1.38,26.0,44.09,10.32,129.3,88.87,710.62
Italy,ALL,2001.0,80.09,3262.0,2.22,26.0,44.25,10.3,132.93,89.33,714.31
Italy,ALL,2002.0,80.38,3264.0,4.28,27.0,44.42,10.89,131.34,90.13,801.47
Italy,ALL,2003.0,80.17,3295.0,2.35,26.0,44.6,11.13,130.05,91.65,985.37
Italy,ALL,2004.0,80.97,2704.91,2.24,24.0,44.8,10.93,71.25,80.89,1218.06
Italy,ALL,2005.0,80.9,2750.66,2.22,23.0,45.02,11.53,73.44,81.48,1542.98
Italy,ALL,2006.0,81.58,2803.53,2.17,24.0,45.28,11.18,73.66,84.11,1954.88
Italy,ALL,2007.0,81.69,2689.49,2.16,22.0,45.56,11.87,69.96,80.24,2432.18
Italy,ALL,2008.0,81.9,2643.13,2.19,24.0,45.88,13.79,66.61,78.28,2738.51
Italy,ALL,2009.0,82.07,2662.61,2.18,25.0,46.23,10.03,64.69,79.5,3081.13
Italy,ALL,2010.0,82.5,2491.3,2.14,23.0,46.59,8.55,64.94,73.17,3497.9
Italy,ALL,2011.0,82.41,2339.55,0.3,23.0,46.97,8.19,60.55,69.41,4213.18
Italy,ALL,2012.0,82.39,2346.52,0.7,24.0,47.36,8.47,63.07,69.61,4926.84
Italy,ALL,2013.0,82.92,2369.4,0.4,23.4,47.74,9.68,64.83,70.44,5177.19
Italy,ALL,2014.0,83.29,2464.69,0.4,22.2,48.11,10.0,65.81,73.87,5011.92
Italy,ALL,2015.0,82.76,2525.75,0.4,23.0,48.47,8.37,67.7,76.56,4314.77
Italy,ALL,2016.0,83.41,2560.65,0.2,22.0,48.81,8.57,69.64,76.73,3890.18
Italy,ALL,2017.0,83.11,2622.82,0.2,21.0,49.13,3.87,75.37,77.82,3769.11
Italy,ALL,2018.0,83.44,2668.39,0.4,20.0,49.43,4.11,76.04,78.7,3888.78
Italy,ALL,2019.0,83.67,2705.1,0.9,20.0,49.7,4.08,79.45,78.36,3793.38
Italy,ALL,2020.0,82.22,2717.35,1.1,18.0,49.95,4.29,80.81,80.1,3912.16
Lithuania,ALL,2000.0,72.2,2719.0,1.0,18.0,50.18,4.38,79.74,81.03,46740.0
Lithuania,ALL,2001.0,71.71,2901.33,0.8,17.0,50.4,4.5,87.1,85.63,49730.0
Lithuania,ALL,2002.0,71.86,2950.34,0.8,16.0,50.62,4.72,89.42,87.18,49340.0
Lithuania,ALL,2003.0,72.13,2984.84,0.7,18.0,50.83,5.03,89.81,88.84,46200.0
Lithuania,ALL,2004.0,72.05,3013.67,0.6,17.0,51.03,5.03,90.81,90.38,44280.0
Lithuania,ALL,2005.0,71.27,3033.02,0.5,17.0,51.22,4.69,94.69,91.05,44680.0
Lithuania,ALL,2006.0,71.02,3037.79,1.1,15.0,51.39,4.57,92.83,92.22,42110.0
Lithuania,ALL,2007.0,70.78,3047.54,2.5,13.0,51.57,4.71,93.51,93.15,40760.0
Lithuania,ALL,2008.0,71.82,3050.93,4.5,14.0,51.76,4.83,95.0,93.6,46780.0
Lithuania,ALL,2009.0,73.01,3092.47,4.7,13.0,51.95,4.69,92.55,95.41,55200.0
Lithuania,ALL,2010.0,73.32,3088.0,4.2,12.0,31.9,4.69,93.79,95.63,63080.0
Lithuania,ALL,2011.0,73.8,3576.0,4.7,11.0,32.6,4.9,133.82,94.98,65590.0
Lithuania,ALL,2012.0,74.16,3483.0,5.2,32.0,33.2,5.04,138.26,89.96,64480.0
Lithuania,ALL,2013.0,74.19,3405.0,3.9,29.0,33.9,5.25,136.66,91.29,65260.0
Lithuania,ALL,2014.0,74.79,3446.0,2.7,28.0,34.6,5.44,140.03,90.83,72470.0
Lithuania,ALL,2015.0,74.62,3445.0,1.8,27.0,35.3,5.46,137.32,91.93,79850.0
Lithuania,ALL,2016.0,74.97,3443.0,1.7,25.9,35.9,13.23,141.67,89.93,82280.0
Lithuania,ALL,2017.0,75.84,3303.0,2.5,25.4,36.5,13.2,134.33,87.39,87770.0
Lithuania,ALL,2018.0,76.07,3423.0,3.7,27.1,37.2,12.67,141.09,89.14,91700.0
Lithuania,ALL,2019.0,76.62,3427.0,3.9,29.7,37.7,12.43,141.74,89.58,89400.0
Lithuania,ALL,2020.0,75.18,3498.0,3.8,28.6,38.3,12.7,149.57,91.81,87960.0
Lithuania,ALL,2021.0,74.29,3451.0,3.6,26.9,38.9,11.41,149.16,90.24,84420.0
Lithuania,ALL,2022.0,75.89,3522.0,4.5,25.4,39.4,7.57,149.82,92.28,81880.0
Luxembourg,ALL,2000.0,79.07,3539.0,4.1,24.0,40.0,5.71,157.38,93.12,83280.0
Luxembourg,ALL,2001.0,78.84,3414.0,0.68,39.0,40.5,4.55,149.66,90.17,84260.0
Luxembourg,ALL,2002.0,78.96,3227.0,3.39,35.0,47.19,7.98,150.09,88.48,82620.0
Luxembourg,ALL,2003.0,78.46,3315.0,4.46,34.0,47.37,7.85,150.43,92.03,90360.0
Luxembourg,ALL,2004.0,80.04,3494.0,5.38,33.0,47.55,8.87,154.01,95.99,2151.78
Luxembourg,ALL,2005.0,80.26,3451.0,6.34,32.0,47.72,8.7,153.68,98.43,2012.3
Luxembourg,ALL,2006.0,80.09,3401.0,7.74,30.0,47.9,10.23,155.75,95.1,1806.25
Luxembourg,ALL,2007.0,80.3,3512.0,9.07,28.0,48.09,9.86,161.08,98.51,1782.2
Luxembourg,ALL,2008.0,81.54,3522.0,9.32,27.0,48.29,9.35,158.95,99.87,1759.03
Luxembourg,ALL,2009.0,81.55,3481.0,7.85,27.0,48.51,10.45,159.65,98.87,1802.18
Luxembourg,ALL,2010.0,81.48,3455.0,7.91,28.0,48.77,11.02,156.56,96.43,1519.76
Luxembourg,ALL,2011.0,81.65,3413.0,7.08,27.0,49.06,11.72,155.44,97.99,1294.01
Luxembourg,ALL,2012.0,82.18,3408.0,7.02,27.0,49.38,12.72,155.9,98.75,1252.67
Luxembourg,ALL,2013.0,82.72,3427.0,6.64,27.0,49.73,12.92,156.66,98.17,1292.36
Luxembourg,ALL,2014.0,83.03,3440.0,5.95,26.0,50.09,10.74,157.19,99.77,1479.29
Luxembourg,ALL,2015.0,83.08,3439.0,5.84,26.0,50.47,11.78,156.63,97.63,1804.42
Luxembourg,ALL,2016.0,83.25,3422.0,5.09,25.0,50.85,11.17,155.53,98.05,2351.77
Luxembourg,ALL,2017.0,83.1,3441.0,5.1,24.0,51.23,12.08,155.7,99.34,3028.45
Luxembourg,ALL,2018.0,83.57,3350.0,6.64,22.0,51.61,11.19,153.17,99.28,3926.38
Luxembourg,ALL,2019.0,83.72,3420.0,5.93,21.0,51.98,12.61,152.33,99.38,5089.1
Luxembourg,ALL,2020.0,83.12,3358.0,5.45,21.0,52.33,13.91,149.84,96.93,6428.27
Luxembourg,ALL,2021.0,83.64,3332.0,5.01,21.0,52.67,14.58,151.27,96.57,6274.57
Luxembourg,ALL,2022.0,84.14,3311.0,4.97,20.0,53.0,13.98,148.53,94.43,6810.0
Latvia,ALL,2000.0,70.51,3340.0,4.79,20.0,53.31,14.43,148.34,93.48,7482.93
Latvia,ALL,2001.0,69.95,3318.0,5.04,20.0,53.62,14.5,145.99,93.35,9019.37
Latvia,ALL,2002.0,70.25,3327.0,4.95,19.0,53.93,13.56,149.36,95.1,10136.96
Latvia,ALL,2003.0,70.73,3324.0,4.76,19.0,54.24,12.58,147.59,92.76,9894.13
Latvia,ALL,2004.0,70.98,3440.0,4.59,18.0,54.57,11.29,149.94,95.85,8183.8
Latvia,ALL,2005.0,70.72,3380.0,11.7,16.0,54.9,9.79,150.6,94.74,6798.54
Latvia,ALL,2006.0,70.6,3436.0,16.9,16.8,55.22,9.74,154.17,93.77,6413.24
Latvia,ALL,2007.0,70.85,3432.0,8.6,16.6,55.55,9.76,153.96,93.7,6986.84
Latvia,ALL,2008.0,72.13,3412.0,3.0,15.8,55.87,10.08,152.9,92.76,7661.03
Latvia,ALL,2009.0,72.81,3386.0,2.0,14.5,56.19,10.57,153.75,91.92,7391.13
Latvia,ALL,2010.0,73.16,3432.0,1.7,12.7,56.52,4.73,158.01,92.23,7960.86
Latvia,ALL,2011.0,73.92,3428.0,2.0,11.2,56.86,4.16,155.66,94.02,1520.0
Latvia,ALL,2012.0,74.13,3445.0,2.6,32.56,37.5,4.06,158.65,93.42,1800.0
Latvia,ALL,2013.0,74.42,3465.0,2.8,27.8,38.2,2.79,156.7,94.64,2400.0
Latvia,ALL,2014.0,74.77,3448.0,3.3,25.1,39.0,2.17,156.9,94.71,3390.0
Latvia,ALL,2015.0,75.11,3491.0,0.4,30.3,39.7,2.17,158.46,95.53,4050.0
Latvia,ALL,2016.0,75.25,3382.0,3.3,46.0,40.5,2.32,151.31,92.02,4490.0
Latvia,ALL,2017.0,75.23,3391.0,3.7,37.0,41.2,2.04,153.54,93.0,4220.0
Latvia,ALL,2018.0,75.37,3421.0,3.4,39.0,41.9,3.72,156.9,96.99,4360.0
Latvia,ALL,2019.0,76.01,3398.0,2.8,37.6,42.6,3.58,159.14,97.29,4480.0
Latvia,ALL,2020.0,75.73,3364.0,2.3,45.0,43.3,3.56,155.19,96.67,5020.0
Latvia,ALL,2021.0,73.43,3388.0,1.8,31.9,44.0,3.8,154.81,96.92,6300.0
Malta,ALL,2000.0,78.23,3378.0,3.0,27.3,44.6,3.78,157.87,97.32,7910.0
Malta,ALL,2001.0,78.84,3379.0,1.8,24.9,45.3,3.37,159.39,97.16,8570.0
Malta,ALL,2002.0,78.73,2939.62,2.7,32.6,45.9,3.47,79.44,88.91,9300.0
Malta,ALL,2003.0,78.63,2950.41,2.7,30.3,46.5,2.68,79.18,87.96,9460.0
Malta,ALL,2004.0,79.43,2878.57,2.6,27.4,47.1,2.54,77.59,87.13,11020.0
Malta,ALL,2005.0,79.49,2828.05,3.1,27.5,48.41,2.35,75.48,85.19,10970.0
Malta,ALL,2006.0,79.63,2754.29,3.4,44.0,48.39,2.65,72.01,82.15,11680.0
Malta,ALL,2007.0,80.06,2798.94,3.3,35.5,48.4,2.49,73.34,84.33,12810.0
Malta,ALL,2008.0,79.85,2763.47,3.6,37.0,48.43,2.69,72.71,83.16,13880.0
Malta,ALL,2009.0,80.5,2735.73,5.0,32.5,48.5,2.73,70.8,80.98,14280.0
Malta,ALL,2010.0,81.55,2747.9,4.0,30.2,48.6,2.97,71.77,80.27,15490.0
Malta,ALL,2011.0,81.06,2812.15,3.3,30.4,48.74,2.88,74.22,81.6,14340.0
Malta,ALL,2012.0,80.99,2879.23,4.1,26.5,48.93,2.85,76.9,83.83,14180.0
Malta,ALL,2013.0,81.97,2911.29,4.7,25.8,49.16,2.99,79.07,84.96,14170.0
Malta,ALL,2014.0,82.24,2975.12,5.3,24.9,49.42,2.9,81.43,86.23,14510.0
Malta,ALL,2015.0,82.01,3048.3,4.5,35.0,49.72,2.75,84.58,88.82,16710.0
Malta,ALL,2016.0,82.72,3095.97,3.9,34.6,50.04,14.22,86.67,89.8,20260.0
Malta,ALL,2017.0,82.47,3140.4,3.7,34.0,50.39,14.19,89.93,91.32,23990.0
Netherlands,ALL,2000.0,78.28,3152.77,5.4,32.0,50.76,14.23,91.43,92.74,25600.0
Netherlands,ALL,2001.0,78.49,3105.16,6.3,29.0,51.12,14.65,90.89,92.21,27340.0
Netherlands,ALL,2002.0,78.56,3160.2,7.9,30.0,51.49,14.79,94.68,94.18,31970.0
Netherlands,ALL,2003.0,78.79,3194.56,11.8,30.0,51.84,14.77,95.09,95.01,32780.0
Netherlands,ALL,2004.0,79.41,3220.06,15.9,28.0,52.18,15.02,96.77,96.62,32040.0
Netherlands,ALL,2005.0,79.67,3224.48,16.1,30.0,52.5,15.63,98.28,96.9,32550.0
Netherlands,ALL,2006.0,80.07,3227.15,14.9,28.0,52.8,15.24,101.21,95.87,29680.0
Netherlands,ALL,2007.0,80.53,3211.56,12.9,29.0,53.07,14.28,97.31,95.92,27830.0
Netherlands,ALL,2008.0,80.67,3205.96,11.1,29.0,53.32,13.96,98.89,96.1,26530.0
Netherlands,ALL,2009.0,81.0,3218.84,8.4,33.0,53.55,14.04,100.3,97.05,26010.0
Netherlands,ALL,2010.0,81.14,3218.68,7.1,27.0,53.77,14.16,101.82,97.66,24720.0
Netherlands,ALL,2011.0,81.44,3222.68,7.6,23.9,53.98,14.06,102.13,98.99,24960.0
Netherlands,ALL,2012.0,81.33,2478.0,7.5,23.9,54.18,14.25,79.66,66.86,27330.0
Netherlands,ALL,2013.0,81.58,2424.0,6.8,24.7,54.38,14.58,68.2,68.68,28600.0
Netherlands,ALL,2014.0,81.98,2373.0,6.1,29.0,54.57,14.71,70.63,69.57,26490.0
Netherlands,ALL,2015.0,81.73,2598.0,0.0,27.0,54.74,14.41,76.33,72.63,28130.0
Netherlands,ALL,2016.0,81.8,2701.0,0.0,23.0,54.91,14.33,85.94,72.95,3360.0
Netherlands,ALL,2017.0,82.0,2767.0,0.0,23.0,55.08,14.37,83.73,75.67,3500.0
Netherlands,ALL,2018.0,82.45,2916.0,0.0,22.0,55.25,14.07,94.11,80.92,4170.0
Netherlands,ALL,2019.0,83.07,2994.0,0.0,20.0,55.42,14.02,98.17,82.56,5150.0
Netherlands,ALL,2020.0,81.84,3169.0,0.0,17.0,31.1,14.03,106.74,87.9,5980.0
Netherlands,ALL,2021.0,81.54,3056.0,0.0,18.0,31.64,13.86,101.87,84.57,6160.0
Netherlands,ALL,2022.0,81.81,3070.0,0.0,18.0,32.1,12.99,109.26,86.63,6110.0
Poland,ALL,2000.0,73.86,2821.0,0.0,18.0,32.6,12.9,109.66,81.64,6110.0
Poland,ALL,2001.0,74.28,2861.0,0.0,33.0,33.08,12.33,110.78,83.34,6340.0
Poland,ALL,2002.0,74.64,2421.0,4.3,32.5,33.58,12.33,86.72,72.59,6350.0
Poland,ALL,2003.0,74.73,2376.0,4.3,31.9,34.0,11.79,88.55,64.93,6650.0
Poland,ALL,2004.0,74.98,2309.0,4.0,30.2,34.49,11.45,75.63,66.36,8110.0
Poland,ALL,2005.0,75.12,2325.0,3.9,29.8,34.92,11.33,80.87,67.37,10260.0
Poland,ALL,2006.0,75.38,2403.0,4.8,28.3,35.41,11.21,91.61,66.68,12480.0
Poland,ALL,2007.0,75.45,2527.0,6.5,26.2,34.49,11.07,94.89,68.32,14000.0
Poland,ALL,2008.0,75.73,2455.0,8.7,26.7,35.05,11.05,92.07,68.72,15850.0
Poland,ALL,2009.0,75.91,2479.0,8.8,26.5,35.58,11.26,88.32,70.35,18510.0
Poland,ALL,2010.0,76.54,2677.0,8.1,27.4,36.17,11.12,105.61,71.62,18840.0
Poland,ALL,2011.0,76.91,2666.0,7.3,26.8,36.73,10.85,94.74,77.09,19400.0
Poland,ALL,2012.0,76.97,2784.0,7.8,24.6,37.31,10.82,104.34,77.86,19460.0
Poland,ALL,2013.0,77.21,2851.0,8.3,25.0,37.91,10.54,106.15,79.98,19440.0
Poland,ALL,2014.0,77.89,2737.0,7.9,22.4,38.55,10.15,115.06,81.18,19410.0
Poland,ALL,2015.0,77.64,2719.0,7.1,22.9,39.19,10.24,106.6,83.01,18900.0
Poland,ALL,2016.0,78.11,2633.0,5.3,21.1,39.9,10.44,109.32,82.43,18370.0
Poland,ALL,2017.0,77.95,2685.0,4.4,21.9,40.63,10.29,109.78,85.79,17670.0
Poland,ALL,2018.0,77.95,2689.0,6.7,19.8,41.4,10.15,101.05,85.28,18310.0
Poland,ALL,2019.0,78.14,2745.0,7.3,19.2,42.19,10.01,113.77,81.29,20560.0
Poland,ALL,2020.0,76.65,2787.0,6.7,18.8,43.0,9.99,105.87,88.82,22110.0
Poland,ALL,2021.0,75.61,2799.0,7.0,19.0,43.83,9.87,110.99,86.51,22130.0
Portugal,ALL,2000.0,76.85,2812.0,7.0,17.6,44.68,9.74,114.07,86.0,24070.0
Portugal,ALL,2001.0,77.19,2823.0,6.1,15.4,45.56,9.62,109.04,88.9,3600.0
Portugal,ALL,2002.0,77.41,2724.0,5.0,14.2,46.42,9.62,110.21,84.67,4670.0
Portugal,ALL,2003.0,77.55,2721.0,4.0,14.3,47.3,9.28,111.35,84.42,5800.0
Portugal,ALL,2004.0,78.44,2727.0,2.9,13.8,48.18,9.16,107.64,86.52,6720.0
Portugal,ALL,2007.0,79.3,2709.0,2.2,11.8,49.06,9.17,105.35,87.1,7130.0
Portugal,ALL,2008.0,79.55,2676.0,2.0,12.6,49.94,9.41,109.86,85.13,7670.0
Portugal,ALL,2009.0,79.77,2648.0,2.6,10.9,50.81,6.54,111.22,85.26,8870.0
Portugal,ALL,2010.0,80.06,2638.0,2.8,10.2,51.67,7.02,106.77,84.75,11050.0
Portugal,ALL,2011.0,80.72,2611.0,2.2,9.4,52.48,6.32,106.16,80.14,13010.0
Portugal,ALL,2012.0,80.61,2601.0,5.3,8.6,53.31,6.92,106.4,80.56,12540.0
Portugal,ALL,2013.0,80.97,2565.0,6.3,8.2,54.13,6.86,111.1,78.53,11120.0
Portugal,ALL,2014.0,81.39,2559.0,7.5,7.3,54.98,7.83,117.48,76.29,10020.0
Portugal,ALL,2015.0,81.35,2639.0,8.0,7.2,55.78,6.62,112.29,80.9,9880.0
Portugal,ALL,2016.0,81.36,2657.0,7.8,6.2,56.56,6.74,115.2,81.82,9840.0
Portugal,ALL,2017.0,81.64,2630.0,8.4,5.7,57.33,7.1,117.83,79.22,11240.0
Portugal,ALL,2018.0,81.54,3041.0,9.0,37.0,58.08,7.5,117.28,94.83,14240.0
Romania,ALL,2000.0,71.24,3039.0,8.7,36.0,58.83,8.01,114.4,95.67,18620.0
Romania,ALL,2001.0,71.27,3040.0,7.9,32.0,30.6,8.07,113.03,95.01,19760.0
Romania,ALL,2002.0,70.97,3013.0,7.2,36.0,31.1,8.26,111.63,92.74,21300.0
Romania,ALL,2003.0,71.32,2995.0,7.2,34.0,31.6,8.47,111.58,91.87,22890.0
Romania,ALL,2004.0,71.87,3051.0,7.9,34.0,32.1,8.56,110.4,92.51,25810.0
Romania,ALL,2005.0,72.21,3037.0,8.9,31.0,32.6,8.59,114.87,92.21,25990.0
Romania,ALL,2006.0,72.69,3039.0,9.5,28.0,33.0,8.82,118.17,92.82,27530.0
Romania,ALL,2007.0,73.27,3055.0,10.3,28.0,33.6,9.0,114.68,92.18,29520.0
Romania,ALL,2008.0,73.47,3046.0,9.4,29.0,34.3,9.11,115.07,92.38,30860.0
Romania,ALL,2009.0,73.6,3037.0,8.0,28.0,35.1,8.51,115.15,92.75,30140.0
Romania,ALL,2010.0,73.83,2978.0,6.9,29.0,35.9,8.13,102.18,88.36,27950.0
Romania,ALL,2011.0,74.6,3209.0,6.6,27.0,36.8,8.2,107.14,93.14,26840.0
Romania,ALL,2012.0,74.57,3319.0,6.0,24.3,37.7,8.06,111.19,95.59,26180.0
Romania,ALL,2013.0,75.0,3236.0,5.1,23.8,38.7,7.64,110.4,93.31,24770.0
Romania,ALL,2014.0,75.07,3269.0,4.7,25.1,39.7,6.99,116.21,96.91,23680.0
Romania,ALL,2015.0,75.11,3118.0,4.6,25.5,40.7,6.24,113.97,91.4,26140.0
Romania,ALL,2016.0,75.37,3079.0,4.3,23.2,39.63,5.99,111.5,90.29,31670.0
Romania,ALL,2017.0,75.38,3170.0,4.0,24.2,39.79,5.64,114.14,92.84,35770.0
Romania,ALL,2018.0,75.4,3243.0,3.6,22.8,39.94,5.75,115.52,92.97,38270.0
Romania,ALL,2019.0,75.67,3319.0,3.3,21.7,40.09,5.78,120.35,92.99,40470.0
Slovakia,ALL,2000.0,73.44,3322.0,3.0,20.7,40.26,5.15,116.75,96.08,43650.0
Slovakia,ALL,2001.0,73.69,3318.0,2.8,18.7,40.42,4.44,128.05,99.33,43660.0
Slovakia,ALL,2002.0,73.88,3279.0,3.3,19.7,40.59,5.14,137.7,95.26,44680.0
Slovakia,ALL,2003.0,73.88,3261.0,3.3,20.5,40.76,5.22,134.33,95.06,47320.0
Slovakia,ALL,2004.0,74.31,3268.0,2.9,20.0,40.93,5.5,137.67,93.79,46560.0
Slovakia,ALL,2005.0,74.24,3276.0,2.8,20.1,41.09,4.83,136.23,92.58,47220.0
Slovakia,ALL,2006.0,74.53,3276.0,0.9,20.5,41.24,5.18,137.72,92.81,47640.0
Slovakia,ALL,2007.0,74.65,3251.0,2.1,25.7,41.37,4.75,133.25,90.81,45780.0
Slovakia,ALL,2008.0,75.05,3243.0,5.1,25.4,41.5,4.75,136.98,86.83,44280.0
Slovakia,ALL,2009.0,75.42,3256.0,5.3,25.6,41.6,4.76,137.05,87.44,43760.0
Slovakia,ALL,2010.0,75.66,3197.0,6.4,26.4,41.69,5.0,128.48,87.44,47470.0
Slovakia,ALL,2012.0,76.33,3122.0,7.3,25.2,41.77,5.42,125.03,87.39,49190.0
Slovakia,ALL,2013.0,76.7,3239.0,6.1,24.7,41.82,5.27,137.29,88.58,47520.0
Slovakia,ALL,2014.0,77.07,3274.0,7.0,24.7,41.86,4.27,140.86,86.94,51040.0
Slovakia,ALL,2016.0,77.42,3271.0,9.2,24.4,41.87,4.67,145.97,86.4,3310.0
Slovakia,ALL,2017.0,77.39,3286.0,10.0,24.1,41.84,4.75,147.79,86.77,3670.0
Slovakia,ALL,2018.0,77.46,2855.0,10.5,24.0,41.78,5.21,112.86,79.25,4310.0
Slovakia,ALL,2019.0,77.91,2915.0,10.1,24.2,41.7,5.69,116.9,80.81,5580.0
Slovakia,ALL,2020.0,77.18,2899.0,9.1,22.3,41.59,5.99,115.52,80.09,6800.0
Slovakia,ALL,2021.0,74.68,2983.0,7.9,23.0,41.48,6.28,117.32,82.13,8080.0
Slovenia,ALL,2000.0,76.28,3012.0,7.9,22.4,41.37,6.71,119.82,83.39,8960.0
Slovenia,ALL,2001.0,76.48,3012.0,8.7,22.4,41.27,6.99,118.58,82.86,9780.0
Slovenia,ALL,2002.0,76.72,3004.0,9.5,23.3,41.18,7.46,120.51,83.53,11170.0
Slovenia,ALL,2003.0,76.52,3062.0,9.7,23.1,41.09,7.61,122.74,84.86,13560.0
Slovenia,ALL,2004.0,77.32,3043.0,10.6,22.5,40.99,7.93,121.65,85.18,15090.0
Slovenia,ALL,2005.0,77.57,3101.0,11.3,22.1,40.88,8.33,124.38,86.61,14180.0
Slovenia,ALL,2006.0,78.35,3109.0,12.4,21.1,40.78,8.88,124.8,87.08,12860.0
Slovenia,ALL,2007.0,78.53,3143.0,12.2,19.7,40.68,9.61,129.1,87.47,11710.0
Slovenia,ALL,2008.0,79.3,3165.0,10.3,19.8,40.58,9.29,126.16,88.36,11520.0
Slovenia,ALL,2009.0,79.46,3110.0,8.8,20.0,42.24,9.46,124.45,88.56,11840.0
